Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,9
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,12
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,134
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,20
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,98
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,123
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,5
2017/18,The Hong Kong University of Science and Technology,Research postgraduate,Unemployed,Not in Full-time Employment,3
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,140
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Agriculture and Fishery Workers,3
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,20
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Architects and Surveyors,2
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Artists,4
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Authors | Journalists and Related Writers,7
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,567
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,21
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,14
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,19
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineers,373
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Administrators and Diplomats,1
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Officials (General Grades),19
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,39
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Legal Workers,2
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Managers,48
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Medical and Health Workers,21
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Professionals and Technical Workers,13
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Service Workers,9
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Science Technicians,16
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Scientists,23
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Production and Related Workers,3
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Protective Service Workers,15
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Sales/Service Workers,26
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,System Analysts and Computer Programmers,193
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Teaching Profession,102
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers not reporting any occupation,56
2017/18,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2017/18,The Hong Kong University of Science and Technology,Undergraduate,Further studies,Not in Full-time Employment,278
2017/18,The Hong Kong University of Science and Technology,Undergraduate,Others,Not in Full-time Employment,56
2017/18,The Hong Kong University of Science and Technology,Undergraduate,Underemployed,Not in Full-time Employment,69
2017/18,The Hong Kong University of Science and Technology,Undergraduate,Unemployed,Not in Full-time Employment,22
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Architects and Surveyors,3
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,2
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Business Professionals,13
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Clerical and Related Workers,1
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,10
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,5
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Engineers,18
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),2
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,1
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Managers,7
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,15
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,2
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Other Service Workers,1
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,21
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,24
2017/18,The University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,8
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,194
2017/18,The University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,53
2017/18,The University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,33
2017/18,The University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,57
2017/18,The University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,36
2017/18,The University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,9
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,66
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,4
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),4
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,101
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Managers,1
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,21
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Occupations not elsewhere classified,1
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,17
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,88
2017/18,The University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,37
2017/18,The University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,15
2017/18,The University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,10
2017/18,The University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,8
2017/18,The University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2017/18,The University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,107
2017/18,The University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,8
2017/18,The University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,90
2017/18,The University of Hong Kong,Undergraduate,FT employment,Artists,6
2017/18,The University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,39
2017/18,The University of Hong Kong,Undergraduate,FT employment,Business Professionals,479
2017/18,The University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,28
2017/18,The University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,68
2017/18,The University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,26
2017/18,The University of Hong Kong,Undergraduate,FT employment,Engineers,223
2017/18,The University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),62
2017/18,The University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,27
2017/18,The University of Hong Kong,Undergraduate,FT employment,Legal Workers,11
2017/18,The University of Hong Kong,Undergraduate,FT employment,Managers,44
2017/18,The University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,447
2017/18,The University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,70
2017/18,The University of Hong Kong,Undergraduate,FT employment,Other Service Workers,13
2017/18,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,6
2017/18,The University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,9
2017/18,The University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,25
2017/18,The University of Hong Kong,Undergraduate,FT employment,Religious Workers,1
2017/18,The University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,17
2017/18,The University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,83
2017/18,The University of Hong Kong,Undergraduate,FT employment,Teaching Profession,234
2017/18,The University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,346
2017/18,The University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,574
2017/18,The University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,94
2017/18,The University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,156
2017/18,The University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,24
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,1
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,1
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Engineers,7
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Legal Workers,1
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Managers,1
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,5
2018/19,City University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,48
2018/19,City University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,25
2018/19,City University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,2
2018/19,City University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,42
2018/19,City University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,3
2018/19,City University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,3
2018/19,City University of Hong Kong,Sub-degree,FT employment,Architects and Surveyors,6
2018/19,City University of Hong Kong,Sub-degree,FT employment,Business Professionals,1
2018/19,City University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,4
2018/19,City University of Hong Kong,Sub-degree,FT employment,Engineering Technicians,8
2018/19,City University of Hong Kong,Sub-degree,FT employment,Engineers,5
2018/19,City University of Hong Kong,Sub-degree,FT employment,Insurance | Real Estate | and Business Services,1
2018/19,City University of Hong Kong,Sub-degree,FT employment,Medical and Health Workers,1
2018/19,City University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,1
2018/19,City University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,6
2018/19,City University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,142
2018/19,City University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,3
2018/19,City University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,11
2018/19,City University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,7
2018/19,City University of Hong Kong,Taught postgraduate,FT employment,Economists | Statisticians and Mathematicians,1
2018/19,City University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,8
2018/19,City University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,3
2018/19,City University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2018/19,City University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2018/19,City University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,157
2018/19,City University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2018/19,City University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,2
2018/19,City University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,63
2018/19,City University of Hong Kong,Undergraduate,FT employment,Artists,45
2018/19,City University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,53
2018/19,City University of Hong Kong,Undergraduate,FT employment,Business Professionals,482
2018/19,City University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,154
2018/19,City University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,28
2018/19,City University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,32
2018/19,City University of Hong Kong,Undergraduate,FT employment,Engineers,172
2018/19,City University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),18
2018/19,City University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,21
2018/19,City University of Hong Kong,Undergraduate,FT employment,Legal Workers,11
2018/19,City University of Hong Kong,Undergraduate,FT employment,Managers,38
2018/19,City University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,10
2018/19,City University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,76
2018/19,City University of Hong Kong,Undergraduate,FT employment,Other Service Workers,14
2018/19,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,11
2018/19,City University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,2
2018/19,City University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,8
2018/19,City University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,33
2018/19,City University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,164
2018/19,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,118
2018/19,City University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,400
2018/19,City University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2018/19,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,253
2018/19,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,112
2018/19,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,257
2018/19,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,129
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Engineers,1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Government Officials (General Grades),1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Managers,1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Science Technicians,1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,27
2018/19,Hong Kong Baptist University,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,2
2018/19,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,1
2018/19,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,12
2018/19,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,4
2018/19,Hong Kong Baptist University,Research postgraduate,Unemployed,Not in Full-time Employment,1
2018/19,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,10
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,80
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Artists,103
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Authors | Journalists and Related Writers,109
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,425
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,37
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,16
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,1
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Engineers,12
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),4
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,11
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,3
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Managers,30
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,21
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,3
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,64
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,13
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,8
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,8
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Production and Related Workers,3
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,12
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Religious Workers,3
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,28
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,70
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,199
2018/19,Hong Kong Baptist University,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,67
2018/19,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,180
2018/19,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,133
2018/19,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,113
2018/19,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,43
2018/19,Lingnan University,Research postgraduate,FT employment,Teaching Profession,6
2018/19,Lingnan University,Research postgraduate,Further studies,Not in Full-time Employment,4
2018/19,Lingnan University,Research postgraduate,Underemployed,Not in Full-time Employment,3
2018/19,Lingnan University,Research postgraduate,Unemployed,Not in Full-time Employment,5
2018/19,Lingnan University,Undergraduate,FT employment,Accountants and Auditors,33
2018/19,Lingnan University,Undergraduate,FT employment,Authors | Journalists and Related Writers,15
2018/19,Lingnan University,Undergraduate,FT employment,Business Professionals,220
2018/19,Lingnan University,Undergraduate,FT employment,Clerical and Related Workers,6
2018/19,Lingnan University,Undergraduate,FT employment,Managers,17
2018/19,Lingnan University,Undergraduate,FT employment,Other Professionals and Technical Workers,4
2018/19,Lingnan University,Undergraduate,FT employment,Other Service Workers,5
2018/19,Lingnan University,Undergraduate,FT employment,Protective Service Workers,5
2018/19,Lingnan University,Undergraduate,FT employment,Sales/Service Workers,18
2018/19,Lingnan University,Undergraduate,FT employment,Teaching Profession,77
2018/19,Lingnan University,Undergraduate,FT employment,Workers not reporting any occupation,59
2018/19,Lingnan University,Undergraduate,Further studies,Not in Full-time Employment,50
2018/19,Lingnan University,Undergraduate,Others,Not in Full-time Employment,10
2018/19,Lingnan University,Undergraduate,Underemployed,Not in Full-time Employment,29
2018/19,Lingnan University,Undergraduate,Unemployed,Not in Full-time Employment,23
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,3
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Business Professionals,17
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,5
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,1
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineers,5
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,2
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Legal Workers,2
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Managers,1
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,7
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,2
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,1
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,7
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Protective Service Workers,1
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Religious Workers,2
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Sales/Service Workers,1
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,14
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,158
2018/19,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,42
2018/19,The Chinese University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,56
2018/19,The Chinese University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,80
2018/19,The Chinese University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,18
2018/19,The Chinese University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,31
2018/19,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,32
2018/19,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,2
2018/19,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,21
2018/19,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,12
2018/19,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,161
2018/19,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,13
2018/19,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2018/19,The Chinese University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,3
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,129
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,46
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,16
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,87
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,679
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,18
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,53
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineers,80
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Administrators and Diplomats,1
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),52
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,45
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Legal Workers,15
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Managers,4
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,474
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Occupations not elsewhere classified,3
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,89
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Service Workers,4
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,4
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,26
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,2
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,14
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Religious Workers,2
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,23
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,204
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Teaching Profession,322
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,157
2018/19,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,3
2018/19,The Chinese University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,505
2018/19,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,79
2018/19,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,50
2018/19,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,92
2018/19,The Education University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,9
2018/19,The Education University of Hong Kong,Research postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2018/19,The Education University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,1
2018/19,The Education University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,3
2018/19,The Education University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,2
2018/19,The Education University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,4
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Aircraft and Ship Officers,1
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Business Professionals,3
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,2
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Managers,1
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Medical and Health Workers,1
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Occupations not elsewhere classified,1
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Other Professionals and Technical Workers,1
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Religious Workers,1
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,1
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,202
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,11
2018/19,The Education University of Hong Kong,Sub-degree,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2018/19,The Education University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,55
2018/19,The Education University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,3
2018/19,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,15
2018/19,The Education University of Hong Kong,Sub-degree,Unemployed,Not in Full-time Employment,5
2018/19,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2018/19,The Education University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2018/19,The Education University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,1
2018/19,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,128
2018/19,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,2
2018/19,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,1
2018/19,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2018/19,The Education University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,2
2018/19,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,2
2018/19,The Education University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,5
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Artists,11
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,2
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Business Professionals,41
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,10
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,1
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Engineers,1
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),1
2018/19,The Education University of Hong Kong,Undergraduate,FT employment,Managers,4
